CID,TeamID,FName,LName,College,Age,Experience,OffPhil,DefPhil,LoyaltyPlayers,LoyaltyCoaches,Ego,OffAbility,DefAbility,STAbility,DevPlayers,JudgingAct,JudgingPot,JudgingQB,JudgingRB,JudgingRec,JudgingOL,JudgingDL,JudgingLB,JudgingCB,JudgingSF,Accountability,Motivating,TimeMgmt,Clutch,Conservative,FBInt,Adjustments,ValuesST,ValuesCharacter,WorkEthic,Preparation,Focus,PlaycallingSkill
21,21,SAM,TARASUIK,Missouri State,33,0,BalRun,4-3Cover,63,47,49,56,62,54,67,50,40,36,33,42,41,64,52,63,42,62,66,85,60,12,24,57,39,49,22,74,69,72
22,22,TERRY,FLOYD,Missouri Southern State,60,16,Smashmouth,4-3Cover,39,42,46,37,13,61,37,34,45,56,59,58,30,37,53,44,57,77,53,41,76,66,33,43,55,46,49,49,86,63
23,23,BARRY,JACKSON,Ohio State,42,10,WCPass,4-3StuffRun,63,34,73,29,69,61,27,39,27,73,69,37,45,29,41,70,54,78,4,44,68,50,49,80,50,47,38,38,38,48
24,24,CHANCE,VELASQUEZ,USC,34,0,Smashmouth,Cover2Attack,60,42,64,48,34,85,73,64,40,42,41,37,46,25,49,46,66,61,34,52,60,65,89,60,62,36,33,47,54,35
25,25,MAYNARD,COLBERT,Minnesota,52,12,BalPass,4-3Cover,39,62,22,50,53,40,56,79,33,65,63,62,77,56,36,38,36,63,54,20,42,64,26,40,49,73,65,45,29,27
26,26,DONALD,WIND,Marshall,50,18,BalRun,4-3Bal,41,39,71,53,36,52,63,34,52,44,39,45,63,37,45,51,43,44,13,14,56,40,31,57,66,33,26,67,18,66
27,27,FRANCIS,ROE,West Virginia,36,4,SpreadBal,4-3StuffRun,64,39,64,39,14,44,51,67,66,32,44,26,47,47,9,63,39,63,42,52,38,63,47,48,40,41,57,42,40,67
28,28,JAMES,NELKE,Michigan State,38,3,WCPass,Cover2Cover,56,54,41,31,44,64,45,39,46,54,33,44,53,35,55,53,51,65,44,39,56,70,55,81,46,62,55,40,19,37
29,29,WALTER,HOYT,Grambling State,67,4,WCRun,3-4Bal,38,37,31,51,30,80,60,92,63,43,60,50,42,74,31,76,58,43,45,35,60,31,53,71,45,61,39,85,38,61
30,30,MATTHEW,COLLIER,Mississippi,47,3,BalRun,3-4Bal,65,23,84,53,47,23,34,52,45,48,82,38,54,58,47,25,46,26,52,23,57,47,16,46,47,68,26,58,0,64
31,31,JOHN,BRUNO,Rutgers,67,5,WCPass,4-3Bal,73,51,72,70,36,34,79,40,45,46,67,41,53,42,87,63,53,58,45,40,45,57,41,42,59,52,46,72,37,46
32,32,ALBERT,WILKES,Pittsburgh,38,0,VertPass,4-3StuffRun,57,58,14,53,63,51,21,53,22,59,67,49,33,50,71,56,67,44,66,55,53,65,63,27,56,34,51,45,45,45
33,1,GEORGE,MORRISON,California,55,14,BalPass,3-4Attack,54,42,43,36,38,82,18,54,60,30,57,58,79,46,61,65,49,53,43,29,41,60,53,33,46,43,76,51,34,60
34,2,MILO,SLOCUM,Indiana,41,1,VertPass,3-4Cover,71,26,25,41,12,25,62,49,60,62,49,28,37,77,65,37,48,36,69,50,29,68,45,62,66,54,49,55,41,36
35,3,BRENT,PRICE,Oregon,70,30,Smashmouth,4-3Bal,50,46,69,34,58,55,47,58,77,35,51,44,43,83,49,34,36,55,98,47,57,34,42,7,57,30,61,43,45,62
36,4,JOHN,JACKSON,LSU,43,5,WCRun,3-4StuffRun,47,37,45,56,45,75,46,74,92,60,57,32,56,45,65,47,33,56,41,48,53,50,39,44,53,61,61,34,47,46
37,5,CHARLES,CLAY,Miami(FL),68,12,SpreadPass,Cover2Bal,38,71,46,70,60,55,71,31,62,45,64,49,52,36,59,60,56,33,31,61,54,18,44,61,74,51,72,57,28,56
38,6,WESLEY,FOLLMER,San jose State,37,3,SpreadPass,4-3Bal,18,10,58,39,46,37,54,56,54,59,35,78,23,69,42,35,46,24,71,36,53,48,34,57,72,64,51,39,68,45
39,7,JONATHAN,BULTER,TCU,70,9,WCBal,4-3StuffRun,62,39,40,15,23,56,55,63,72,24,42,52,29,40,19,41,76,40,36,51,79,44,27,31,55,43,49,58,62,56
40,8,RICHARD,GALLOWAY,UCLA,32,0,VertPass,3-4Bal,23,68,57,70,43,52,27,63,49,54,36,44,33,32,42,45,57,54,19,42,47,36,56,37,65,48,81,60,9,22
41,9,FRANKIE,CARLINO,Texas,70,13,WCPass,Cover2Bal,33,62,41,39,65,64,34,54,73,54,26,36,41,47,87,59,24,53,60,28,52,80,77,50,27,48,47,35,30,50
42,10,ROBERT,HINISH,Washington,61,24,Smashmouth,3-4Bal,66,61,43,60,61,41,16,66,43,45,67,39,62,34,50,61,46,62,35,50,62,53,47,71,83,60,67,49,43,63
43,11,DEREK,WEST,Miami(OH),65,23,BalRun,4-3Cover,48,49,74,86,35,29,16,37,60,36,53,57,59,59,32,62,61,39,41,35,48,30,68,48,64,40,47,29,45,18
44,12,JOHN,SCHMIDT,Hawaii,47,10,SpreadRun,Cover2Bal,36,42,20,53,35,54,62,31,37,55,27,44,49,44,55,67,49,58,61,62,37,20,66,24,38,54,62,34,3,45
45,13,DONALD,TAYLOR,Rutgers,41,3,WCRun,3-4StuffRun,54,23,27,58,14,64,42,55,65,69,85,40,44,58,50,25,39,47,73,45,64,47,60,52,32,72,55,50,45,59
46,14,PAT,BEATTY,San Diego State,36,2,BalPass,3-4StuffRun,76,61,51,40,14,47,34,50,42,46,61,80,38,31,38,61,66,34,61,55,73,52,81,27,70,63,42,21,69,31
47,15,RAFAEL,JULIAN,Bloomsburg,57,4,VertPass,4-3Bal,40,34,53,19,36,47,41,53,46,60,46,67,34,38,49,55,42,59,55,74,40,59,26,42,54,35,48,61,46,51
48,16,NELSON,BEARD,LSU,45,7,Run-N-Shoot,4-3StuffRun,56,66,27,78,58,35,85,51,31,56,43,51,26,23,87,49,74,68,47,27,27,34,31,81,77,68,44,61,77,48
49,17,FRANK,ROTH,Florida,60,3,SpreadRun,4-3StuffRun,50,56,58,55,42,53,44,22,67,46,78,81,49,54,18,52,56,48,62,25,68,31,69,63,75,59,63,30,27,61
50,18,MICHAEL,WREN,Ohio State,65,7,VertPass,4-3Attack,34,55,72,29,36,36,48,56,51,5,53,81,36,22,74,34,49,65,33,57,25,55,60,55,72,38,37,22,58,63
51,19,DAVID,RANCK,Mississippi,50,18,VertPass,Cover2Bal,46,46,32,64,59,49,29,71,67,72,24,54,59,32,74,62,57,77,54,27,77,74,74,44,59,43,65,55,61,81
52,20,MICHAEL,DUTY,Miami(FL),40,5,SpreadRun,Cover2Attack,37,33,78,33,53,46,51,61,45,69,59,61,61,30,39,62,14,39,36,6,77,66,54,46,43,43,47,78,48,30
53,21,WILLIAM,KRUEGER,Tennessee,63,20,SpreadPass,4-3Attack,29,61,48,50,23,62,34,54,62,61,81,40,56,49,25,46,57,29,63,38,51,56,31,67,29,54,36,38,60,84
54,22,WOODROW,GILLIAM,East Carolina,33,0,WCPass,3-4StuffRun,56,54,67,47,41,56,37,39,44,56,83,65,41,61,38,73,50,35,41,47,57,21,61,73,46,61,46,89,60,35
55,23,JERRY,SHAKIN,Tennessee,47,9,VertPass,4-3StuffRun,30,36,42,32,28,23,66,53,43,39,61,37,50,25,86,42,84,51,36,39,69,30,72,34,47,62,44,20,30,37
56,24,ERNEST,BRYAN,Bucknell,62,6,WCBal,3-4StuffRun,64,52,53,45,55,84,50,45,31,57,42,40,57,55,40,62,54,19,50,62,31,57,26,40,62,70,75,40,19,71
57,25,HENRY,JOHNSON,Lane,56,20,VertPass,3-4Attack,45,85,73,51,55,23,53,69,65,49,67,62,57,24,28,61,55,46,44,62,60,53,32,26,40,38,31,36,56,55
58,26,CHRISTOPHER,HERRMANN,Michigan,43,2,VertPass,4-3Bal,43,42,40,47,79,34,37,49,66,72,41,31,39,51,35,47,79,52,58,54,46,45,36,54,43,49,48,64,56,31
59,27,LEONARD,COLEMAN,West Virginia,53,13,BalRun,Cover2Cover,45,33,46,13,36,52,56,42,50,54,39,36,56,47,67,69,63,48,53,49,46,81,95,58,39,60,65,27,71,28
60,28,MICHEAL,LEE,Wake Forest,36,1,WCPass,4-3Bal,32,68,41,23,23,67,35,59,67,41,50,61,73,13,51,35,36,82,32,68,28,20,65,40,52,55,41,40,43,57
61,29,SHELBY,ANDREWS,Arizona,39,2,BalPass,Cover2Bal,37,57,25,54,63,48,69,57,37,60,71,66,34,29,39,48,87,72,35,58,44,67,37,29,40,39,42,76,52,43
62,30,ROGER,BYRUM,Memphis,39,2,SpreadRun,Cover2Cover,20,46,57,52,27,15,57,19,48,51,59,56,53,26,75,70,46,63,33,45,66,58,40,34,49,59,57,68,39,31
63,31,JOHN,PARKER,Northern Illinois,43,6,SpreadPass,4-3Bal,48,55,63,47,40,28,51,47,63,54,81,51,29,53,26,40,59,16,47,52,32,32,20,56,47,47,1,48,65,43
64,32,PETER,HANSEN,Ball State,54,8,SpreadRun,4-3Bal,50,28,24,39,73,15,72,44,36,86,57,93,41,29,55,52,51,54,32,55,48,52,82,48,49,51,68,34,39,50
65,1,STEVEN,JACKSON,Tarleton State,35,2,BalPass,3-4StuffRun,45,59,65,50,26,40,46,80,77,28,54,70,36,31,33,66,85,64,45,71,84,51,25,52,41,59,41,14,63,79
66,2,LAMONT,REYES,Delaware,50,0,BalRun,Cover2Bal,40,54,24,39,74,74,70,61,49,49,45,68,27,75,30,42,54,58,43,61,31,38,48,73,62,17,44,39,61,51
67,3,AARON,BURCH,Alcorn State,57,0,WCBal,4-3Cover,50,43,50,57,59,63,60,33,42,54,54,49,55,36,84,39,30,26,54,56,54,55,39,33,42,50,60,48,58,90
68,4,LAWRENCE,MOCK,Ohio State,33,0,SpreadBal,4-3Bal,34,33,72,40,63,53,23,65,60,41,55,45,58,70,37,80,57,66,26,39,59,27,68,39,59,74,41,49,64,49
69,5,MICHAEL,WILLIAMS,North Carolina State,41,7,WCBal,Cover2Attack,55,23,59,52,29,67,49,42,70,33,50,35,46,96,53,50,31,48,48,79,36,67,26,59,53,68,21,57,28,60
70,6,RANDY,HOLLIDAY,Grambling State,63,15,Smashmouth,4-3StuffRun,36,29,35,42,67,23,60,35,49,51,32,53,46,55,59,27,59,60,43,87,52,8,44,78,57,28,26,35,34,70
71,7,JOHN,MULL,Mississippi State,53,18,WCRun,4-3Attack,52,52,60,46,61,82,51,66,44,49,51,74,8,55,26,32,66,31,40,32,33,45,34,52,68,67,47,67,75,55
72,8,JOSE,RASOR,Michigan,49,17,VertPass,Cover2Attack,48,42,35,70,62,62,87,31,55,61,37,66,57,83,59,50,72,46,65,60,61,46,59,57,27,71,56,53,22,52
73,9,EDGAR,FENSTER,New Mexico,50,12,SpreadRun,3-4Cover,20,55,56,49,43,44,75,71,48,27,40,81,24,20,40,44,34,57,80,30,81,49,57,33,43,66,39,23,43,36
74,10,JOSEPH,FAMBROUGH,Southern Connecticut State,39,1,VertPass,Cover2Cover,39,59,20,37,56,90,63,55,36,73,51,51,41,28,50,41,49,39,23,43,34,60,53,54,54,44,19,59,29,29
75,11,DAVE,JONES,Texas,52,8,BalRun,4-3StuffRun,63,83,36,47,50,59,84,63,35,37,50,49,48,62,51,62,55,22,42,30,63,42,40,52,38,48,57,41,55,39
76,12,JAMES,CAMPBELL,Gerogia Southern,38,2,VertPass,4-3Cover,48,60,39,82,63,51,51,65,45,30,32,30,53,53,34,45,38,34,25,63,27,22,37,92,40,37,73,41,23,38
77,13,DONNIE,FERRETTI,Ball State,61,15,WCRun,Cover2Bal,23,43,51,18,54,59,48,46,57,79,62,56,81,36,55,54,43,44,45,53,22,58,63,53,56,44,55,45,38,60
78,14,ALEX,GRAVES,New Mexico,64,12,WCBal,3-4Bal,55,59,20,32,59,45,43,61,52,22,53,42,75,40,65,41,60,32,63,56,42,32,66,31,29,59,50,41,52,85
79,15,HUBERT,BUSH,Texas,57,12,BalRun,3-4Bal,67,38,47,33,84,35,81,48,60,55,52,75,63,43,33,44,30,65,80,50,75,51,52,33,32,38,69,50,57,44
80,16,CHARLES,MONIGOLD,Baylor,50,16,VertPass,4-3Cover,74,39,38,43,39,55,42,54,71,47,61,44,40,53,52,70,68,76,58,54,67,74,49,58,81,41,69,58,49,57
81,17,CORY,BROWN,Sam Houston State,52,16,Smashmouth,4-3Bal,55,44,24,56,48,31,23,17,44,9,63,54,57,24,34,26,7,37,43,61,40,77,45,45,47,39,79,51,53,57
82,18,NATHAN,MCCOY,Texas State,56,14,WCPass,Cover2Attack,22,62,44,27,38,25,46,38,47,65,28,46,34,85,80,45,17,31,69,28,24,46,37,42,32,57,53,66,66,12
83,19,ALLEN,BECK,Eastern Michigan,35,0,VertPass,3-4Bal,50,40,58,49,64,36,55,63,49,65,50,28,40,64,61,55,76,11,60,46,39,22,38,75,65,49,79,39,45,46
84,20,WILBERT,DAVISON,Western Oregon,36,1,WCPass,Cover2Bal,72,49,49,43,53,51,38,44,28,35,94,45,55,60,74,57,71,48,50,60,73,60,28,25,31,61,51,77,65,9
85,21,JOSE,CURRIER,Auburn,38,3,SpreadBal,3-4StuffRun,61,57,64,65,64,69,26,63,49,40,62,30,49,57,58,48,54,43,38,39,62,51,36,56,43,34,30,37,53,32
86,22,RICARDO,THOMAS,Boston College,65,22,BalPass,3-4Bal,47,44,48,77,3,38,41,65,60,71,30,46,56,60,78,48,57,51,25,45,44,35,65,38,46,27,19,58,44,31
87,23,CHRIS,FREEMAN,USC,39,0,VertPass,4-3Cover,36,19,92,69,51,40,74,56,31,75,58,45,22,52,46,69,36,23,71,49,21,71,30,59,19,40,46,34,35,15
88,24,RUBEN,SPEIGHTS,Oklahoma,40,3,WCRun,4-3Bal,68,63,61,24,81,43,80,18,19,54,51,70,55,63,58,25,73,50,39,62,59,25,57,71,70,45,44,26,18,68
89,25,VICTOR,NABORS,Michigan,52,13,VertPass,3-4Bal,62,26,42,62,59,56,32,46,48,78,23,63,48,43,22,67,70,47,70,19,58,64,48,94,38,66,27,87,45,27
90,26,TAD,WASMER,Arizona,47,9,WCBal,4-3StuffRun,68,73,49,37,79,42,71,48,66,46,53,31,51,51,51,54,44,40,37,53,28,27,64,35,38,56,39,69,16,61
91,27,DONALD,PENNINGTON,Ohio State,32,0,BalPass,4-3StuffRun,52,78,52,37,68,32,62,75,38,70,38,48,67,50,53,41,63,33,53,53,34,64,44,72,31,57,41,46,69,55
92,28,KEVIN,LOCKHART,Illinois,69,12,BalRun,3-4StuffRun,24,34,50,37,46,43,71,61,67,58,44,61,68,25,76,56,36,51,49,69,59,61,55,65,73,57,38,40,35,32
93,29,CARL,HAASE,Ohio State,36,0,SpreadRun,4-3Cover,37,41,46,39,38,26,85,55,36,66,41,64,11,48,35,53,44,50,43,50,19,46,43,53,53,18,44,32,65,55
94,30,DAN,SEBASTIAN,Colorado State,47,3,Run-N-Shoot,Cover2Cover,41,81,64,60,35,34,41,46,49,51,48,36,37,27,44,55,62,30,63,54,52,50,55,51,49,74,47,57,41,60
95,31,WILLIAM,NELSON,Clarion,40,6,Smashmouth,Cover2Attack,62,69,54,77,44,64,34,44,70,69,62,17,29,59,51,60,26,34,1,68,65,37,59,26,53,56,65,53,54,58
96,32,WILLIE,JAMES,UCF,38,3,SpreadRun,4-3Cover,48,42,100,59,28,48,37,45,47,45,64,7,20,42,50,39,51,19,57,89,75,16,35,40,28,52,96,36,51,30
97,1,GERALD,KILPATRICK,Central Oklahoma,47,9,BalRun,Cover2Bal,71,55,47,56,31,22,57,76,67,36,60,19,34,39,52,49,49,25,53,30,28,58,86,53,47,52,42,38,48,42
98,2,FRED,PEAVEY,Alabama,51,0,BalPass,Cover2Attack,59,65,54,11,37,20,46,59,84,77,48,58,60,59,63,53,62,34,72,43,58,57,68,77,75,62,46,30,54,62
99,3,REGINALD,LEARY,Idaho,53,11,BalPass,4-3Bal,61,34,41,49,52,58,66,66,57,62,35,40,33,27,75,56,58,61,43,36,37,78,38,40,70,69,69,67,76,49
100,4,BRADLEY,BUDDENHAGEN,Cincinnati,42,8,SpreadPass,46,41,60,41,56,68,37,63,47,36,68,43,24,59,30,58,37,44,58,54,65,30,42,67,55,47,43,53,46,50,56
101,5,JAMES,WOOD,South Carolina,39,5,VertPass,4-3Bal,72,71,49,69,64,47,50,54,9,56,62,50,64,63,50,58,47,33,59,32,40,56,59,24,45,61,42,39,30,42
102,6,HARRY,JOYAL,Towson,43,0,WCPass,Cover2Cover,41,43,44,35,63,64,85,65,26,70,31,39,65,58,58,33,82,86,60,65,41,68,86,56,77,71,39,35,79,35
103,7,GREGORY,MARTIN,Marshall,37,3,SpreadRun,4-3Cover,74,45,85,39,28,19,81,28,64,22,51,44,41,25,47,63,60,30,24,53,51,24,32,53,68,49,51,43,63,42
104,8,CHARLES,LEDOUX,Clemson,64,29,WCRun,Cover2Cover,48,34,59,62,50,72,81,78,56,38,42,48,38,34,59,41,48,57,27,60,46,34,53,44,58,26,69,56,38,75
105,9,TIMOTHY,WATSON,Fresno State,33,1,SpreadPass,4-3Bal,61,20,30,21,45,22,70,36,75,74,45,53,57,55,64,27,59,60,49,105,40,50,76,42,23,68,41,56,74,62
106,10,STANLEY,CAYLOR,Florida,46,7,Run-N-Shoot,4-3Attack,79,48,36,70,64,34,34,41,56,54,47,40,73,52,49,76,80,36,20,48,69,35,26,44,39,59,39,74,53,46
107,11,DONALD,TAYLOR,Arizona State,48,9,Smashmouth,4-3Cover,48,76,31,64,58,42,27,85,40,47,47,81,28,43,59,34,62,76,23,46,73,44,59,44,48,49,65,70,45,34
108,12,DAVID,DILLARD,Florida State,57,3,SpreadRun,3-4Bal,38,72,37,51,63,83,37,39,51,67,51,75,40,68,72,24,65,69,76,39,64,56,54,42,38,53,74,78,25,51
109,13,MICHAEL,LAFRANCE,Florida,55,5,Smashmouth,4-3Attack,52,44,45,61,10,37,68,90,23,26,10,43,50,43,36,57,64,16,33,39,36,56,29,52,49,50,28,62,38,-7
110,14,JOHN,HUCKABY,Oklahoma,33,0,SpreadPass,4-3Attack,49,58,62,52,53,27,3,82,70,68,30,61,58,41,49,59,36,40,58,88,24,30,37,65,63,64,38,32,59,56
111,15,JOE,SLOAN,Illinois,39,3,Smashmouth,Cover2Cover,55,42,59,59,46,63,33,71,43,50,8,43,46,30,19,61,26,56,78,42,63,79,71,67,23,53,59,70,36,57
112,16,JAMES,FLYNT,Florida,57,13,WCBal,Cover2Bal,50,26,69,37,52,59,46,41,57,70,35,32,66,81,48,70,42,67,89,67,58,51,43,23,46,65,82,38,53,66
113,17,MICHAEL,BLACKBURN,Vanderbilt,58,2,SpreadPass,4-3Attack,48,33,46,37,89,32,46,55,33,65,37,49,40,54,54,50,26,43,46,45,58,68,62,66,56,25,49,54,86,39
114,18,RODNEY,RIVERA,Iowa State,46,3,BalRun,3-4Cover,28,30,24,38,63,45,60,52,61,28,89,39,62,46,62,28,56,62,37,42,23,73,32,54,58,26,78,45,49,53
115,19,KENNETH,HOPPER,West Virginia,47,2,BalPass,4-3Bal,45,69,65,75,26,43,72,53,55,58,77,37,63,46,49,67,22,57,46,72,20,71,76,52,85,50,27,69,45,54
116,20,HERBERT,WEBER,Syracuse,65,11,WCRun,46,66,40,98,25,16,63,53,99,28,56,39,31,77,57,32,22,36,37,60,60,43,76,67,62,40,42,48,43,37,82
117,21,RAYMOND,MARTIN,Illinois,57,8,SpreadBal,3-4Bal,58,51,43,54,102,32,52,58,51,15,51,67,100,25,39,53,59,56,34,64,69,59,41,34,13,80,47,59,46,55
118,22,BILLY,MADISON,Texas,48,2,Smashmouth,Cover2Cover,60,25,83,56,39,12,41,37,45,46,39,72,54,31,70,48,42,51,69,69,60,88,41,25,28,76,67,2,63,66
119,23,BOBBY,THIBODAUX,North Carolina,56,18,WCRun,Cover2Bal,44,69,55,41,42,20,12,42,66,30,38,50,59,45,30,48,71,30,36,28,39,46,33,65,45,62,48,32,60,73
120,24,DONALD,RIEGER,Louisville,40,5,WCBal,Cover2Attack,62,55,62,74,65,35,62,50,46,25,51,21,30,43,33,58,44,49,86,77,48,25,87,61,64,39,74,30,24,51
121,25,ROY,DOUGLAS,Georgia Tech,35,2,WCPass,Cover2Cover,50,39,84,10,68,33,49,39,84,46,63,47,24,54,59,47,46,57,48,64,47,30,35,46,50,60,55,55,56,53
122,26,TYLER,BARTH,Delta State,32,0,SpreadBal,4-3Cover,62,46,61,39,67,43,85,62,42,76,49,49,56,0,46,37,75,22,66,55,57,15,69,2,52,49,56,25,61,62
123,27,HAROLD,FOSTER,Fresno State,67,0,SpreadRun,Cover2Attack,36,73,21,45,58,57,52,65,68,28,57,48,67,32,56,75,56,34,45,66,58,63,26,22,37,59,55,92,27,58
124,28,SAMUEL,LOH,Wisconsin,55,2,BalRun,4-3StuffRun,52,24,41,71,51,35,53,19,30,39,43,62,34,55,73,49,30,34,38,69,48,59,52,44,31,42,20,60,36,42
125,29,HARRY,DEATON,Arkansas,41,0,SpreadPass,4-3StuffRun,48,62,55,46,27,30,21,18,75,72,43,48,55,21,37,42,54,51,53,38,41,89,56,38,57,26,37,47,48,67
126,30,LYNDON,KING,Baylor,69,30,BalPass,3-4StuffRun,58,38,-2,45,37,54,61,45,34,33,59,29,33,38,30,51,49,63,9,29,59,60,57,48,16,96,54,75,76,71
127,31,LEROY,SWAIN,Texas,54,18,BalPass,4-3StuffRun,37,72,23,50,47,43,43,41,66,63,40,52,48,26,35,28,62,50,58,33,59,51,57,46,50,49,52,58,34,52
128,32,RONNIE,LEE,Alcorn State,48,13,SpreadRun,4-3StuffRun,38,40,36,45,43,57,61,40,35,36,30,32,48,47,24,84,39,25,47,50,22,87,43,54,84,83,58,56,72,52
129,1,JEFFREY,ROE,Arizona State,32,0,WCBal,Cover2Cover,24,80,48,43,69,51,51,38,61,62,30,77,33,44,58,54,79,61,54,30,56,55,44,20,36,80,71,53,43,52
130,2,TOMMY,LANE,Notre Dame,69,19,SpreadPass,4-3StuffRun,67,62,69,53,74,37,46,47,41,56,56,75,24,42,59,55,73,20,43,48,37,71,23,36,46,57,61,35,49,24
131,3,STEVE,GARCIA,Mississippi State,70,32,VertPass,3-4Cover,23,58,49,32,33,57,40,62,35,59,56,40,55,24,47,51,39,77,56,58,70,63,25,73,19,48,56,78,54,51
132,4,ROBERT,JOHNSON,UCF,56,12,WCRun,3-4StuffRun,70,57,51,63,29,50,84,30,21,48,53,46,57,32,77,71,28,58,54,64,66,48,50,58,49,72,55,72,30,49
133,5,JEFFREY,BILLINGHURST,Illinois State,49,12,VertPass,3-4StuffRun,59,26,42,53,55,45,46,89,55,62,58,58,40,19,52,68,90,74,52,77,39,56,62,33,53,63,61,42,66,57
134,6,DAVID,GRAY,Utah,37,1,Run-N-Shoot,3-4Attack,68,42,52,52,33,48,40,48,45,39,91,64,18,95,40,50,69,41,43,48,54,35,64,40,84,46,59,11,30,33
135,7,RICHARD,MALLARI,Stanford,59,11,SpreadPass,Cover2Cover,48,69,65,47,51,44,42,46,56,56,43,37,29,71,56,40,36,61,29,44,62,44,41,80,39,51,42,79,45,37
136,8,THOMAS,WILSON,Penn State,52,15,Smashmouth,4-3Cover,82,60,64,28,45,51,64,64,60,22,48,71,39,62,50,17,12,33,12,56,42,57,55,26,30,37,40,32,72,43
